ContentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9192550000000000000,Chrome OS now has Material Design for the desktop (ID: -9192549002213406534),Elastic Stack 5.0.0 Released (ID: 5847042211895226591),"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br (ID: -790959521412948853)","Hello, a nova rede social do Orkut, está liberada no Brasil (ID: 3779434447835779494)",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley' (ID: 3495098006178009360),You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart (ID: 5217724704513784613)
-9189660000000000000,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures (ID: -9189659052158407108),Clean Coder Blog (ID: -6074646493203713780),Pull request first - Practical Blend (ID: 8657408509986329668),Beyond Progressive Web Apps Part 1 (ID: 4277778562135834208),"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise (ID: 2417383163258637695)",Most Interesting APIs in 2016: Cognitive Computing (ID: 428486625959995206)
-9176140000000000000,Livraria dá adeus a estoque e imprime livros na hora (ID: -9176143510534135851),Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership (ID: -6340141548068597572),Governo brasileiro cria manual para contratação de cloud (ID: -4233177915193302509),The barbell effect of machine learning. (ID: 3269302169678465882),"No, Apple isn't the next BlackBerry - it's the next Microsoft (ID: -3750879736572068916)","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack (ID: -8800029253812071912)"
-9160910000000000000,"Apple's new file manager, APFS, is awesome (ID: -9160910454530522563)",A New Number Format for Computers Could Nuke Approximation Errors for Good (ID: 8690601908689146128),CSS Containment in Chrome 52 | Web Updates - Google Developers (ID: -2808969983997441543),The End Of Apple Man (ID: -3581194288660477595),19 Tips For Everyday Git Use (ID: 8712996026808754180),Facebook's WhatsApp does something very different than Google (ID: 3382511589554885024)
-9128740000000000000,Confirmed: Walmart buys Jet.com for $3B in cash (ID: -9128741757954228992),Nintendo has doubled in value since Pokémon Go's release (ID: -8369610219380465981),How enterprise architects can help ensure success with digital transformations (ID: -2554512494756911972),The Internet of Things is looking for its VisiCalc (ID: 5018472516978866574),Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real... (ID: 5092635400707338872),Two Different Sales Motions . . . . (ID: 6519443272707698315)
-9086960000000000000,We are on the verge of a consumer M&A avalanche (ID: -9086955082453789880),Innovation is in all the wrong places (ID: -5154395767417065070),This Super Accurate Portrait Selection Tech Uses Neural Networks (ID: -6727357771678896471),MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo (ID: -447851796385928420),"Telecoms open shop on Madison Avenue, but will brands buy? (ID: 7823781477664935857)",Google cloud boss Diane Greene: We're winning against AWS and Microsoft (ID: 8559816910657872807)
-9033210000000000000,Google's Cloud Machine Learning service is now in public beta (ID: -9033211547111606164),Machine Learning Is No Longer Just for Experts (ID: 5258604889412591249),Spark comparison: AWS vs. GCP (ID: 1549650080907932816),Algorithms and architecture for job recommendations (ID: -4944551138301474550),Scala is the new golden child (ID: -5363263367015469934),"The ""Joel Test"" for Data Science (ID: -1403735753867098241)"
-9028990000000000000,Xamarin for Everyone (ID: -9028990334396397584),Modelando APIs REST com Swagger (ID: 3906974906788964502),The Ultimate Solution to Versioning REST APIs: Content Negotiation (ID: 5484061377044071389),"GitLab launches Issue Boards, an open-source task management tool that resembles Trello (ID: -2479936301516183562)",Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog (ID: 3205047378909988692),Learn Hiragana: The Ultimate Guide (ID: -969155230116728853)
-9019580000000000000,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com (ID: -9019582414165805420),Goodbye accountants! Startup builds AI to automate all your accounting (ID: -6820241302436968068),Governo define cronograma para plano nacional de Internet das Coisas (ID: 3180828616327439381),Itaú é pioneiro do blockchain (ID: -8813724423497152538),Mobile banking conquista o coração dos brasileiros (ID: -8370744479086515302),Banking Needs a Customer Experience Wake-Up Call (ID: -8900113512825364282)
-9019230000000000000,Berners-Lee quer criar outra Web (ID: -9019233957195913605),Clean Coder Blog (ID: -6074646493203713780),Anti-If: The missing patterns (ID: -5148591903395022444),Alecrim/AlecrimCoreData (ID: -4974757204495953627),Programming by poking: why MIT stopped teaching SICP (ID: -1492574794514500033),New MacBook Pro is not a Laptop for Developers Anymore (ID: 7814856426770804213)
-8992800000000000000,4 Reasons Managers Should Spend More Time on Coaching (ID: -8992803137960175254),Investimentos em coaching e mentoring aumentam nas empresas (ID: -5952729859839521828),Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade (ID: -4133169317019898816),O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil (ID: -4509487968959834430),Qual é o valor da área de T&D na sua empresa? (ID: -7264217791213422584),"Life Coach vs. Therapist, Learn the Difference | Tony Robbins (ID: 7088167897470452815)"
-8992200000000000000,15 Awesome Sublime Text Plugins For Web Development (ID: -8992201526199201450),Aplicação de visão computacional com OpenCV (ID: -2034054811536485879),"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro (ID: 8912004903894879756)","Autofill: What web devs should know, but don't (ID: 3818189513627822856)",Acesse a versão Material Design do YouTube | Google Discovery (ID: 8589361101754366293),Most Interesting APIs in 2016: Cognitive Computing (ID: 428486625959995206)
-8964530000000000000,Why Evernote Is Giving Up on Its Data Centers for Google Cloud (ID: -8964534883296838326),New settings for 2-Step Verification (ID: -486686184692655504),Artificial intelligence is changing SEO faster than you think (ID: -5778988730475305016),"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy (ID: -6523871595334455509)",Google cloud boss Diane Greene: We're winning against AWS and Microsoft (ID: 8559816910657872807),How the queen of Silicon Valley is helping Google go after Amazon's most profitable business (ID: -4338308747999225618)
-8954350000000000000,The technology behind preview photos (ID: -8954346068661072425),Evernote anuncia integração com Google Drive | Google Discovery (ID: 1031060816592502094),A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley' (ID: 3495098006178009360),Testes unitários vs aceitação - Android Dev BR (ID: 1567984561327445971),The Ten Commandments of Egoless Programming (ID: -1878128207048892154),Revista PROGRAMAR nº 53 - Agosto de 2016 (ID: -8508606815368130888)
-8950760000000000000,Mobify report reveals impact of mobile website speed (ID: -8950763842769120954),Things you probably didn't know you could do with Chrome's Developer Console (ID: -3040610224044779845),Four Node.js Gotchas that Operations Teams Should Know about - The New Stack (ID: 1649752043999819668),"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine (ID: 2633209697262372913)",Mercado de Cosméticos no Brasil - Setor que não conhece crise! (ID: -5039153034159656707),"Don't Start Big, Start a Little Snowball (ID: -7623502978685822577)"
-8949110000000000000,"No Brasil, '25% dos celulares ainda são 'Burrofones' (ID: -8949113594875411859)",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo (ID: -447851796385928420),"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem (ID: 7734121175534200554)",Especial: O papel dos grandes provedores de TI na Rio 2016 (ID: 6615662748793536194),Assessing Salesforce's platform and ecosystem | ZDNet (ID: 7506614456429888492),Resenha - A Chegada (ID: 3739926497176994524)
-8948230000000000000,Nova pulseira tecnológica avisa se você já bebeu demais (ID: -8948234514303933700),Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery (ID: -3348652277274905234),Burger King aceita pedidos via mensagens no Facebook - Startupi (ID: 911037455259135591),1º Congresso Brasileiro de IoT - Embarcados (ID: 4045164454094417310),"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim! (ID: 1577045425286888616)",Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery (ID: 3716124214746295857)
